"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"330",13,"Ben Sinnott",WAS,"TE42","12","3 out of 5 stars","+49"
"331",13,"KaVontae Turpin",DAL,"WR115","10","2 out of 5 stars","+12"
"332",13,"Noah Brown",WAS,"WR116","12","3 out of 5 stars","+129"
"333",13,"Will Dissly",LAC,"TE43","12","3 out of 5 stars","+8"
"334",13,"Raheim Sanders",CLE,"RB99","9","4 out of 5 stars","+225"
"335",13,"Cam Little",JAC,"K20","8","5 out of 5 stars","-157"
"336",14,"New York Giants",NYG,"DST22","14","1 out of 5 stars","-135"
"337",14,"Brandon McManus",GB,"K21","5","3 out of 5 stars","-116"
"338",14,"Jalen Milroe",SEA,"QB37","8","4 out of 5 stars","-67"
"339",14,"A.J. Dillon",PHI,"RB100","9","3 out of 5 stars","+1"
"340",14,"Gabe Davis",FA,"WR117","-","-","+151"
"341",14,"KeAndre Lambert-Smith",LAC,"WR118","12","3 out of 5 stars","-6"
